query_id,split,query,decision,reason,reviewer,title,summary,target_description,regions,categories,application_period,organization,program_id
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[울산] 2026년 AI무역지원센터 활용 해외 홍보 지원사업 모집 공고,"KOTRA울산지원본부에서 울산 소재 중소기업을 대상으로「2026 울산AI무역지원센터 활용 해외 홍보 지원사업」수혜기업을 모집합니다. 울산지역 중소기업 관계자 분들의 많은 관심과 신청 바랍니다. ☞ 울산 소재 중소기업 ☞ 외국어 홍보물 제작 비용(공급가액)의 80%(부가세 기업부담), 기업당 최대 1백만원 지원 - (무료) 울산AI무역지원센터를 활용한 제품 사진촬영 및 buyKOREA 플랫폼 제품 등록 지원 - 지원분야 : 외국어 카탈로그(홍보 동영상, e카탈로그 등 포함), 외국어 홈페이지 제작, 해외 유명 광고매체 광고, 해외 온라인 유통망 사이트 판매계정 등록, 광고 지원 등",중소기업,울산,수출,예산 소진시까지,KOTRA울산지원본부,BIZINFO:PBLN_000000000122551
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[울산] 2026년 소상공인 온라인 판로ㆍ마케팅 지원 사업 공고,"소상공인의 온라인 홍보ㆍ마케팅비 지원을 통해 온라인시장 판로 확대 및 전환 기회를 제공하기 위해「2026년 울산광역시 소상공인 온라인 판로ㆍ마케팅 지원 사업」을 아래와 같이 공고합니다. ☞ 울산광역시 내 사업장을 두고 사업을 영위하고 있는「소상공인기본법」, 제2조 및「소상공인기본법 시행령」제3조에 따른 소상공인 사업자 ☞ 온라인 플랫폼(울산페달, 배달의 민족, NAVER, 다방 등)의 직접 홍보ㆍ광고비 등, 홍보ㆍ마케팅 운영비용, 콘텐츠 제작비용 등 지원",소상공인,울산,내수,예산 소진시까지,울산광역시소상공인행복드림센터,BIZINFO:PBLN_000000000125890
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[부산] 2026년 지역 기업 온라인 입점지원 참가기업 모집 공고,부산광역시와 부산경제진흥원에서는 「2026 부산 지역 기업 온라인 입점 지원」을 통해 지역 중소기업 및 소상공인의 성공적인 온라인 진출 및 비대면 판로개척을 지원하고자 합니다. 이에 참가를 희망하는 기업들을 모집하고자 하니 많은 참여와 관심 바랍니다. ☞ 부산 지역 소재 중소상공인기업 - 제품 상세페이지를 보유(업로드 가능)한 기업 - 중소기업 확인서 또는 소상공인 확인서 발급이 가능한 기업 - 통신판매업신고증이 발급 가능한 기업 ☞ 참여기업 온라인 기획전 및 판매제품 프로모션 지원,중소기업,부산,내수,모집 완료시,부산경제진흥원,BIZINFO:PBLN_000000000121635
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,2026년 ATF 연계 방송콘텐츠 해외유통 지원 사업 공고,"방송미디어통신위원회와 한국방송통신전파진흥원은 창의적이고 경쟁력 있는 국내 방송콘텐츠의 해외수출 및 홍보 등을 위해「2026년 ATF 연계 방송콘텐츠 해외유통 지원 사업」을 아래와 같이 공고하오니 많은 참여바랍니다. ☞ (비즈매칭 홍보관) 25년~’26년 KCA 방송프로그램 제작지원 사업 선정작 - (쇼케이스) AIㆍ디지털 기술을 활용한 기획단계(기획안)의 국내 방송 콘텐츠 ☞ 행사지원, 비용지원 - (비즈매칭 홍보관) 국내 송출 완료 또는 제작 완료된 콘텐츠의 해외 유통을 위한 비즈니스 매칭(Match Making) 및 상담 부스 지원, 참가자 1인 운임비 및 숙박비 지원 - (쇼케이스) 국내 방송 송출(서비스) 전, AI 또는 디지털 기술을 활용한 국내 방송콘텐츠 기획안 피칭, 참가자 1인 운임비 및 숙박비 지원 ※ 자세한 지원내용 공고문 참조",중소기업,전국,수출,2026-08-10 ~ 2026-09-08,한국방송통신전파진흥원,BIZINFO:PBLN_000000000125340
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[경남] 2026년 제조전문형 메이커스페이스 지원사업 경상남도 제조 스타트업 홍보ㆍ마케팅 지원 프로그램 수혜기업 모집 공고,"(재)경남테크노파크에서는 도내 제조 스타트업의 국내외 시장진출 및 판로개척을 위해 홍보ㆍ마케팅 및 사업화 지원을 위한 프로그램에 참여할 기업을 모집하고자 하오니 많은 관심 부탁드립니다. ☞ 경상남도 소재, 업력 7년 이내 제조업종 창업기업 ☞ 외부 전문가 컨설팅, IR 자료 제작 지원, 온라인 판로개척지원(플랫폼 페이지 제작), 오프라인 판로개척지원(플리마켓, 팝업스토어), 콘텐츠 제작지원",창업벤처,경남,기술,2026-09-02 ~ 2026-09-22,경남테크노파크,BIZINFO:PBLN_000000000126116
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[서울] 종로구 2026년 소상공인 라이브커머스 지원사업 참여자 모집 재공고,"관내 소상공인들의 온라인 판로개척 지원을 위한 ｢2026년도 종로구 소상공인 라이브커머스 지원사업｣ 참여자를 다음과 같이 모집하오니 많은 신청 바랍니다. ☞ 라이브커머스 참여 희망 종로구 소상공인 ☞ 라이브커머스 진행 관련 일체 (업체별 1회, 60분 이내) 지원 - 쇼호스트 섭외, 방송장비 및 촬영팀 지원, 방송 송출 등 - 사전교육, 상품기획 및 컨설팅, 제품 홍보물 제작",소상공인,서울,내수,2026-08-12 ~ 2026-12-31,기초자치단체,BIZINFO:PBLN_000000000125511
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,2026년 3차 정보보호제품 성능평가 지원 공모 사업 공고,한국인터넷진흥원은 정보보호제품의 성능향상과 성능평가제도 활성화를 위해 대상제품군에 대한 성능평가 지원 사업을 아래와 같이 실시하오니 관심있는 기업들의 많은 참여 부탁드립니다. ☞ 대한민국에 본사를 둔 국내 정보보호제품 개발 기업 ☞ 성능평가ㆍ컨설팅 비용 최대 75%(최소 5백만원 ~ 최대 10백만원) 지원,중소기업,전국,기술,2026-08-26 ~ 2026-09-16,한국인터넷진흥원,BIZINFO:PBLN_000000000125877
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[서울] 2026년 패션기업 연말 맞춤형 제품 제작ㆍ프로모션 지원사업  참여기업 모집 공고,서울경제진흥원에서는 소비가 집중되는 연말연시에 맞춰 중소기업이 효과적인 마케팅을 할 수 있도록 연말 맞춤 시즌제품 제작 및 프로모션 지원사업 참여기업을 모집하오니 많은 관심과 참여 부탁드립니다. ☞ 서울 소재 중소 패션ㆍ라이프스타일 기업 ☞ 연말 맞춤 제품ㆍ패키지 제작 지원 - 지원한도 : 기업당 홀리데이 시즌 특화 제품 제작비 최대 300만 원 지원,중소기업,서울,수출,2026-09-03 ~ 2026-09-21,서울경제진흥원,BIZINFO:PBLN_000000000126164
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[경북] 2026년 중소기업 글로벌 온라인몰 입점 지원 참가기업 추가 모집 공고,"경상북도와 (재)경북경제진흥원은 도내 수출유망 중소기업의 해외 시장 판로개척 지원을 위해「2026 중소기업 글로벌 온라인몰 입점 지원」사업을 추진하오니 해외 온라인시장 진출 확대의 기회를 얻고자 하는 기업에서는 많은 신청을 바랍니다. ☞ 도내 소재한 중소기업으로 제조 또는 수출 기업 ① 경북도내 소재한 공장등록증 보유 중소기업 ② (제조시설 면적 500㎡미만일 경우) 건물건축물대장 용도가 경북도내 소재로 공장 또는 제조업소로 명시된 기업 ③ 수출신고필증 내 수출대행자 또는 수출화주 또는 제조자가 경북 소재로 표기된 기업 ☞ 해외 유명 온라인 마켓에 도내기업 제품 입점, 배송, 홍보 및 프로모션, C/S 등 원스톱 지원 - 상품페이지 제작 및 제품등록 ※입점 기업당 5개 품목 이내 - 주문, 결제, 배송, 재고관리, 고객관리 등 판매ㆍ운영 지원 - 상품 라이선스 및 인증 취득(필요시) ※일부 자부담 발생 - 온ㆍ오프라인 제품홍보 및 프로모션 등",중소기업,경북,수출,2026-08-27 ~ 2026-11-30,경상북도경제진흥원,BIZINFO:PBLN_000000000125920
Q01,dev,서울 서초구에서 온라인 판매가 가능한 제품을 보유한 소상공인인데 AI 홍보 콘텐츠 제작 비용이나 제작 서비스를 지원받고 싶어,,,,[경기] 화성시 2026년 하반기 마케팅 활성화 지원  참가기업 모집 공고,"화성산업진흥원에서 기술력 있는 관내 유망기업의 마케팅 활동을 지원해, 기업의 판로개척 및 기업 경쟁력 강화를 장려하기 위해 「2026년 하반기 마케팅 활성화 지원」을 진행하고자 합니다. 이에 관심 있으신 관내(화성시) 기업의 많은 관심과 지원 바랍니다. ☞ 화성시 관내 본사 또는 공장 소재 중소기업 ※ [2026년 중소벤처기업부 소상공인 정책자금 지원 제외 업종] 영위 기업 제외 ☞ 마케팅 비용 기업당 최대 2개 분야, 3백만원 이내 지원 - 홍보물ㆍ디자인 제작, 디지털 광고, 오프라인 광고, 전시 박람회",중소기업,경기,내수,2026-08-13 ~ 2026-10-30,화성산업진흥원,BIZINFO:PBLN_000000000125493
